stage,description,n_fens,pct_of_previous_stage,pct_of_raw_pool
source_corpus,ysagiv human_trees read-only source corpus (all root FENs),1078585,100.00,100.00
tree_subsample,seeded random subsample of the source corpus (split.source_root),200000,18.54,18.54
xaba_exclusion_filter,subsample survivors of the xaba-exclusion filter (intermediate; shared across configs),132062,66.03,12.24
ply_window_filter_15_75,xaba survivors whose root FEN also falls at ply 15-75 in our own move DB (split.include_list),80011,60.59,7.42
train_split,training-set episodes (train_manifest.txt),64009,80.00,5.93
validation_split,validation-set episodes (validation_manifest.txt),16002,25.00,1.48
