board_position,player_white,voc,move_time,elo,n_candidates,ply
r2q2k1/2p1b1p1/p1Pp3p/4p2n/1P6/5NPn/P1QB1P1P/R4RK1,True,0.0,3,2039,2,0
r2q2k1/2p1b1p1/p1Pp3p/4p2n/1P6/5NPn/P1QB1PKP/R4R2,False,0.0,9,2030,5,0
r2q2k1/2p1b1p1/p1Pp3p/4p1nn/1P6/5NP1/P1QB1PKP/R4R2,True,0.0,2,2039,5,0
r2q2k1/2p1b1p1/p1Pp3p/4p1Nn/1P6/6P1/P1QB1PKP/R4R2,False,0.0,5,2030,5,0
r2q2k1/2p3p1/p1Pp3p/4p1bn/1P6/6P1/P1QB1PKP/R4R2,True,0.0,26,2039,5,0
r2q2k1/2p3p1/p1Pp3p/4p1bn/1P6/6P1/P2B1PKP/R1Q2R2,False,0.0010000000000000009,21,2030,5,0
r2q2k1/2p3p1/p1Pp1b1p/4p2n/1P6/6P1/P2B1PKP/R1Q2R2,True,0.0,15,2039,5,0
r2q2k1/2p3p1/p1Pp1b1p/4p2n/1P6/6P1/P2B1PKP/1RQ2R2,False,0.0,12,2030,5,0
r2q2k1/2p3p1/p1P2b1p/3pp2n/1P6/6P1/P2B1PKP/1RQ2R2,True,0.0,3,2039,5,0
r2q2k1/2p3p1/p1P2b1p/3pp2n/1P6/6P1/P2B1PKP/1R1Q1R2,False,0.0,11,2030,5,0
r3q1k1/2p3p1/p1P2b1p/3pp2n/1P6/6P1/P2B1PKP/1R1Q1R2,True,0.0,30,2039,5,0
r3q1k1/2p3p1/p1P2b1p/3pp2n/1P6/6P1/P1QB1PKP/1R3R2,False,0.0,9,2030,5,0
r3q1k1/2p3p1/p1P2b1p/3p3n/1P2p3/6P1/P1QB1PKP/1R3R2,True,0.0040000000000000036,7,2039,5,0
r3q1k1/2p3p1/p1P2b1p/3p3n/1P2p3/4B1P1/P1Q2PKP/1R3R2,False,0.0010000000000000009,6,2030,5,0
r3q1k1/2p3p1/p1P2b1p/7n/1P1pp3/4B1P1/P1Q2PKP/1R3R2,True,0.0,8,2039,5,0
r3q1k1/2p3p1/p1P2b1p/7n/1P1pp3/6P1/P1Q2PKP/1RB2R2,False,0.026000000000000023,3,2030,5,0
r3q1k1/2p3p1/p1P2b1p/7n/1P2p3/3p2P1/P1Q2PKP/1RB2R2,True,0.0,3,2039,5,0
r3q2k/2p3p1/p1P2b1p/7n/1PQ1p3/3p2P1/P4PKP/1RB2R2,True,0.31999999999999995,30,2039,5,0
r3q2k/2p3p1/p1P2b1p/7n/1PQ1p3/3p2P1/P4PKP/1RB1R3,False,0.0,23,2030,5,0
3rq2k/2p3p1/p1P2b1p/7n/1PQ1p3/3p2P1/P4PKP/1RB1R3,True,0.0,15,2039,5,0
