ply_bin,6.4,6.2,6.0,5.8,5.6,5.4,5.2,5.0,4.8,4.6,4.4,4.2,4.0,3.8,3.6,3.4,3.2,3.0,2.8,2.6,2.4,2.2,2.0,1.8,1.6,1.2,1.0,0.6,0.0
150,,,0.5232608488155324,0.6922193837398876,0.7422910537188162,0.8138389421598271,0.8557464117353888,0.8744924708607786,0.8538817744519392,0.8681033873555297,0.8556257728855455,0.8104647253479549,0.7348354404201471,0.6291638542433315,0.6112784502766155,0.5654529039028515,0.5380555689064975,0.5173217718591746,0.43794864917637194,0.3860654148997291,0.3764938779319877,0.30444377430436237,0.3027582612219067,0.2990855848666854,0.24819925900762466,0.22501475623312106,0.19388811853053883,0.11189260252181583,9.999994999180623e-07
145,,,0.4979927652721032,0.6755364135127125,0.7736066819933751,0.8257563449743446,0.863139562415267,0.8882272175282014,0.8916003728841295,0.8722401349624633,0.8718673714715742,0.8472924124014016,0.7427025033208232,0.6570611294699713,0.618171083039101,0.5741326966304773,0.5388676873340683,0.4951147140805905,0.4589600988034914,0.4081142849277283,0.3669828342156084,0.3414451244138945,0.31306819212448905,0.2697863358999637,0.25376963202511815,0.22238095509428962,0.18128971362809895,0.1165097758953863,9.999994999180617e-07
140,,,0.5666202925479398,0.7063880570569143,0.8027556095177732,0.856609110458188,0.9034934531189653,0.9174440444162105,0.9307346676844036,0.9163607382375282,0.9106503211171183,0.8650140938792508,0.759036724650114,0.6792938916140117,0.6452874343930921,0.592698672808451,0.5499148632536035,0.506314155193092,0.46997911730732284,0.42012591679898126,0.38429435379513394,0.3529943465138606,0.3079748168376599,0.2757028625113367,0.2688152179705322,0.23743793412493544,0.18416930114122865,0.11796425450213313,9.999994999180617e-07
135,,,0.572301971247947,0.7349751103991405,0.8345801413973615,0.8890764808579164,0.941544428245342,0.9602319368669487,0.9707782054827706,0.9557383714682331,0.9307805291688308,0.8979009355648125,0.7866600618300735,0.7119683630479625,0.6635775441908861,0.6051221748723816,0.5727651216356641,0.527696665126025,0.48603136506089545,0.43447014253515304,0.4092075281900112,0.37133368726824384,0.3331537794331994,0.298215675624364,0.27507386637082365,0.24314230713557336,0.20421287085856338,0.11678547229826794,9.999994999180619e-07
130,,,0.6126313642300206,0.7586124465008416,0.8713939006893918,0.9309620446387205,0.9827716557954409,1.0013948449747312,1.0046566918785818,1.0009149943975468,0.967566341426827,0.9347166661366446,0.8176853383242937,0.7304996694983071,0.6831274607419318,0.632001862718627,0.5888845569151785,0.5463542543518011,0.5039008608262878,0.4598760725849219,0.42582129902414195,0.3767549910418965,0.3395661320892526,0.3084963697148294,0.28588136889868904,0.2493322422015302,0.21041216797779366,0.1302759539958396,9.99999499918062e-07
125,,,0.6541077598922596,0.8016773128720447,0.9041240360494405,0.975301777992148,1.0236285405333314,1.0422018503341612,1.0513232380555084,1.0374116163675597,1.0121336475552207,0.9831671203419311,0.8521226317307137,0.7655665910123404,0.7071361086183214,0.6587296812116159,0.6083021395074365,0.572456644905019,0.5278207496945272,0.48430409353564136,0.4476269607934626,0.3866446133833793,0.36108300780932456,0.32801452940446296,0.30681127787267704,0.26501959373550077,0.21868140902820515,0.12745661343257822,9.99999499918062e-07
120,,0.3654831090260512,0.6776992436285602,0.8403256900066699,0.956086343074753,1.0339467320160018,1.0731003040482077,1.0894422465105278,1.0987417451483976,1.0884550280757779,1.065149237163218,1.0187318055093884,0.8804297928742307,0.7931855567239263,0.7416424885637635,0.6862803272025129,0.6358421764615008,0.5939921504831812,0.5593995712612718,0.5061574135888938,0.4686075333839987,0.41284971191632674,0.3750471159954493,0.35195863300013647,0.32486798770114056,0.2772859822378431,0.230298533013203,0.13124380630920848,9.999994999180625e-07
115,,0.48512196594837254,0.7006313176932919,0.8936037022744191,1.0001059702061974,1.0825933714280394,1.1251929699990013,1.1468263143208899,1.1560607613319516,1.1345997565189563,1.1109302409634,1.0677241241127897,0.9222696455355683,0.8246677717317227,0.7696139470405874,0.7214792023557121,0.6665322728220662,0.6291026557169469,0.5778074804463328,0.5290582030365546,0.48849535246302006,0.44292014884030845,0.3952282932185679,0.3713175375845593,0.32927449968980793,0.27981300095667483,0.23216583110696484,0.13895461526036412,9.99999499918063e-07
110,,0.5228187160524856,0.7615926681414562,0.9448941253066672,1.0650555519303593,1.1466772184976408,1.1863183446549868,1.2102554364414777,1.2136583288435927,1.1952191229078473,1.1692420246407558,1.1143067891938239,0.9554824102909796,0.863388910997613,0.8131922402826042,0.75210599734201,0.7024075099209662,0.6607171784274947,0.6121899505022943,0.5547958844385236,0.5200830138850795,0.4602589289792617,0.41615982263186047,0.3876755939011055,0.35061700707440396,0.3063515047567839,0.25063487153514646,0.14221091837956568,9.999994999180638e-07
