move_ply_qbin,10,9,8,7,6,5,4,3,2,1
10,2.037693833853852,0.6564796420344476,0.26336131271704577,0.39921108124447013,0.6450710294283029,0.8174944176158354,0.9757311713620516,1.1046400627373054,1.1919628724518743,0.8503908910776753
9,2.1983161564687674,1.025066286215416,1.2283007712351397,0.8546813839546706,0.992922445146258,1.2128689905859877,1.4066618345025435,1.57267070947701,1.6774012609916,1.32516240421471
8,1.617352725400394,1.0790835261108134,1.083167766742007,1.094485481677408,1.3324039728033543,1.5695305292871868,1.7710966489047963,1.9294498745294584,2.001764581488322,1.64259137184868
7,1.6133104037732662,2.006558245881454,1.2391575939650752,1.3734234858823615,1.6405794949605572,1.8754563993929139,2.0607507756011803,2.1956676593323996,2.227700056849423,1.8640860533293222
6,0.9874613626322941,0.7102901827367127,1.3161949992115065,1.6044506973963277,1.8612486750090134,2.0777332338096297,2.2420892711523686,2.3501606021351913,2.344869880271276,1.971683781815388
5,0.7967247464047424,1.0883912377588174,1.4896507129689263,1.7695089551629049,2.01687956606673,2.214495073238749,2.3569568939563434,2.4362757554222907,2.391711706087881,1.9739701062662574
4,0.7276317715190423,1.178304458796595,1.571418754889344,1.881621445602202,2.1225772494329678,2.304313069720606,2.4174181224853504,2.4643136617283576,2.341780044141835,1.7386966279882192
3,0.6637887191305069,1.0854952063111363,1.553484032368841,1.9189139694276465,2.1442053706787103,2.2869573104959766,2.342104928826826,2.288362016894752,2.0082028601633057,1.298133305721129
2,0.6033675513766069,0.9975052923330409,1.535894408214577,1.864667747371075,1.9929046107227668,1.9913293953072466,1.8567223491589633,1.6547493756846565,1.3106582776072395,0.8688156088140262
1,0.6350168624664168,1.017102642317304,1.4805708536918372,1.5600943655341808,1.5281825036778396,1.4367301924838443,1.3327092362343382,1.170341080804145,0.9983430603073511,0.8263375605157247
