frac_epoch,loss_gap
0.004830917874396135,0.814623
0.10144927536231885,0.625067
0.19806763285024154,0.493019
0.2946859903381642,0.322374
0.391304347826087,0.23491
0.48792270531400966,0.19486
0.5845410628019324,0.175679
0.6811594202898551,0.166989
0.7777777777777778,0.153162
0.8743961352657005,0.15341
0.9710144927536232,0.143476
1.0,0.17044
1.0048309178743962,0.147835
1.1014492753623188,0.155774
1.1980676328502415,0.148074
1.2946859903381642,0.134118
1.391304347826087,0.140785
1.4879227053140096,0.135122
1.5845410628019323,0.133775
1.681159420289855,0.118056
1.7777777777777777,0.126204
1.8743961352657004,0.118595
1.971014492753623,0.119969
2.0,0.13073
2.004830917874396,0.123365
2.101449275362319,0.12058
2.1980676328502415,0.120159
2.2946859903381642,0.119025
2.391304347826087,0.115262
2.4879227053140096,0.112179
2.5845410628019323,0.114957
2.681159420289855,0.114597
2.7777777777777777,0.11266
2.8743961352657004,0.11801
2.971014492753623,0.113884
3.0,0.102986
3.004830917874396,0.117185
3.101449275362319,0.109742
3.1980676328502415,0.107665
3.2946859903381642,0.111516
3.391304347826087,0.12049
3.4879227053140096,0.115199
3.5845410628019323,0.113811
3.681159420289855,0.109234
3.7777777777777777,0.10928
3.8743961352657004,0.11313
3.971014492753623,0.108766
4.0,0.109041
4.004830917874396,0.113116
4.101449275362318,0.108183
4.1980676328502415,0.110693
4.294685990338165,0.103438
4.391304347826087,0.109487
4.48792270531401,0.103372
4.584541062801932,0.110117
4.681159420289855,0.102184
4.777777777777778,0.107628
4.874396135265701,0.103744
4.971014492753623,0.101043
5.0,0.100166
5.004830917874396,0.101562
5.101449275362318,0.100994
5.1980676328502415,0.097806
5.294685990338165,0.110796
5.391304347826087,0.104271
5.48792270531401,0.104403
5.584541062801932,0.097948
5.681159420289855,0.108353
5.777777777777778,0.094687
5.874396135265701,0.106232
5.971014492753623,0.099021
6.0,0.106072
