epoch,tau,train_E_regret,val_greedy_regret
1,1.0,0.37706280534374453,0.12232464013981072
2,1.0,0.2289735205169881,0.12232464013981072
3,1.0,0.13534924150317604,0.12232464013981072
4,1.0,0.10772385658746053,0.12232464013981072
5,1.0,0.1016864665827289,0.12136058750257124
6,1.0,0.09850237110418841,0.11753990550269042
7,1.0,0.09517695789444187,0.10890247323296101
8,1.0,0.09110656573330198,0.10413481740764631
9,1.0,0.08821553445139788,0.10171895575934001
10,1.0,0.08615489584565393,0.09971469363278368
11,1.0,0.08426347060354246,0.09648561632906917
12,1.0,0.08167823107671521,0.09837618535817805
13,1.0,0.07816832289982026,0.0996698951641793
14,1.0,0.07581358226911321,0.09420462709826795
15,1.0,0.07438552414696264,0.08690111028617661
16,1.0,0.07368035073600109,0.07690581960210521
17,1.0,0.07320047387429027,0.07625139346153813
18,1.0,0.07289837023150458,0.07601308730852795
19,1.0,0.07267606373505958,0.0757651551173846
20,1.0,0.07244672082493832,0.07532867702337114
21,1.0,0.07235923662670911,0.07500318958705147
22,1.0,0.07217440239754763,0.07450686982962898
23,1.0,0.07204591910809041,0.07483387393947821
24,1.0,0.07198381869835947,0.07449575725329043
25,1.0,0.07189459593146341,0.0748905588490438
26,1.0,0.07179427230220234,0.07463542252999553
27,1.0,0.07174145948029982,0.07447566186279529
28,1.0,0.07162931899526533,0.07411390028284924
29,1.0,0.07152795373851752,0.07411475422000678
30,1.0,0.07138849358828198,0.07417531668759718
31,1.0,0.07127393424075945,0.0742258591570999
32,1.0,0.07116459061975684,0.07418078148636084
33,1.0,0.07104178439057324,0.07415698470762355
34,1.0,0.07101235610744047,0.07417197481955619
35,1.0,0.07107541706444835,0.07382272195489041
36,1.0,0.07090479675377738,0.07359341034679162
37,1.0,0.07091594814302113,0.07369595376759393
38,1.0,0.07077536105091858,0.07327222644783854
39,1.0,0.07075382864112469,0.07332242301513506
40,1.0,0.07072893710495584,0.07314269028363707
41,1.0,0.07071386232122644,0.07313359068767972
42,1.0,0.07060489890965113,0.07343193322270052
43,1.0,0.0706321739708875,0.07301193839206785
44,1.0,0.07057636427964695,0.0734233080766056
45,1.0,0.07063334539257703,0.0734337040373299
46,1.0,0.07052055199475894,0.07344974558088489
47,1.0,0.0705576951704515,0.07316189580141183
48,1.0,0.07050132449009437,0.07343098590931489
49,1.0,0.07051520763440619,0.07314699971688372
50,1.0,0.07037651530846326,0.07357913741304953
51,1.0,0.07102673965950243,0.07362881312684555
52,1.0,0.07040220853613284,0.07371806307652756
53,1.0,0.07027709091770126,0.07361677594215281
54,1.0,0.07025131239822272,0.07311888855667519
55,1.0,0.07007634761625005,0.07358504278013159
56,1.0,0.07009826038628858,0.07334940101289902
57,1.0,0.06998559716843732,0.07373719141909604
58,1.0,0.06974986605643733,0.07359022948574222
59,1.0,0.06969398640032577,0.07380896515733723
60,1.0,0.06967046281722451,0.0737262143030996
61,1.0,0.06947114422129423,0.0735623810516345
62,1.0,0.06941961117460195,0.0735573093153828
63,1.0,0.0692802572048866,0.0736607080387214
64,1.0,0.06937704281894276,0.07362421280503657
65,1.0,0.06935255232756211,0.07258418596139506
66,1.0,0.06935314193092999,0.07368414112142731
67,1.0,0.0691661311503827,0.0735760204938601
68,1.0,0.06900934847105111,0.07330053548615251
69,1.0,0.0691114483507367,0.07229953326250946
