epoch,tau,train_E_regret,val_greedy_regret
1,1.0,0.3459746629139242,0.0527618035084603
2,1.0,0.21715573154346768,0.05035896949110385
3,1.0,0.138991141850316,0.04561815971646031
4,1.0,0.09729083437966073,0.04798134974821677
5,1.0,0.07067073059825653,0.0539458842999645
6,1.0,0.05006204187024628,0.054260933948211194
7,1.0,0.03946323890502674,0.04908354193033946
8,1.0,0.03582296160767145,0.04502463937882616
9,1.0,0.03450377576752853,0.045849451553167525
10,1.0,0.033695299707248466,0.04519641067000033
11,1.0,0.03308440697579731,0.045872471756146296
12,1.0,0.03257032256512907,0.04731960741314173
13,1.0,0.0321171098452598,0.04517945683102551
14,1.0,0.031687641282920107,0.04972450015991257
15,1.0,0.03134185267615929,0.04847967259192733
16,1.0,0.030998933996725136,0.046035359700346834
17,1.0,0.03068843713844325,0.046771810941661524
18,1.0,0.030421200196310793,0.042770638616516206
19,1.0,0.030205317416144482,0.043185696559745065
20,1.0,0.029987594258954326,0.04336958680224814
21,1.0,0.029816969872111954,0.04342002627615048
22,1.0,0.029654539849673773,0.04276485874980282
23,1.0,0.0295133420572206,0.04171567312395799
24,1.0,0.029389391975650214,0.04242058139671222
25,1.0,0.029302574551547077,0.041500274719794915
26,1.0,0.02919682760137364,0.04064051567086501
27,1.0,0.02908513680227661,0.04397009293416606
28,1.0,0.029013913701906806,0.04125817694378521
29,1.0,0.028975261488677517,0.04351026002928174
30,1.0,0.028870533735762448,0.040070049326641814
31,1.0,0.028828142659189253,0.03982201269617102
32,1.0,0.028741342236404083,0.04328619163967477
33,1.0,0.028751317953372324,0.040305809212063226
34,1.0,0.028580525007147133,0.04403252742268561
35,1.0,0.028576808923886716,0.040283837590850184
36,1.0,0.028521879222957073,0.04117253227910665
37,1.0,0.028509993847388764,0.04279441359309254
38,1.0,0.028454689555746305,0.04359149271831548
39,1.0,0.028466318014530038,0.04014013235626748
40,1.0,0.028386888793700164,0.04335616547041176
41,1.0,0.028328124663059753,0.04153802464890433
42,1.0,0.02828152785942069,0.04267094729706207
43,1.0,0.028319962272439506,0.041281618593701226
44,1.0,0.02822464629976965,0.040800585057131626
45,1.0,0.02819551378478281,0.043180426868224694
46,1.0,0.028199202291558707,0.04327422579275902
47,1.0,0.028123343215151878,0.042287401502913706
48,1.0,0.028177831917016245,0.04003241637060395
49,1.0,0.028161477421686624,0.042749365930189354
50,1.0,0.028056680621629047,0.0414899386517215
51,1.0,0.028019100767736,0.043063360985871255
52,1.0,0.027993165208957834,0.04154053507116557
53,1.0,0.02801458495719083,0.045440576016017184
54,1.0,0.02801034793553192,0.041252295996615534
55,1.0,0.02793260648563459,0.04180486137000006
56,1.0,0.027942585254858033,0.04315854336244262
57,1.0,0.028017255441441874,0.040546131103708985
58,1.0,0.027921722513959284,0.04152929740933019
59,1.0,0.02785795951670965,0.0424480681699344
60,1.0,0.02780691387977721,0.04127156997167035
61,1.0,0.027805808717161786,0.04301316193109594
62,1.0,0.02778434871609498,0.042797705632895505
63,1.0,0.027743193535613837,0.04033700236735106
64,1.0,0.027829790997278656,0.04342576039894214
65,1.0,0.02775761458937605,0.04261043539169248
66,1.0,0.027711437010167553,0.04284830153654491
67,1.0,0.027708521592439746,0.043448039224371356
68,1.0,0.02770715841217594,0.04153797710527476
69,1.0,0.02771815742771017,0.040809024480126035
70,1.0,0.02761805107387686,0.04297543483163808
71,1.0,0.02763371853477467,0.041050027050820115
72,1.0,0.027594942906812445,0.041458903113499875
73,1.0,0.027568358173878586,0.043356765582808
74,1.0,0.02755760878152146,0.04321044353132822
75,1.0,0.027491302118915987,0.042411744695559056
76,1.0,0.02745934072661354,0.041746978586769484
77,1.0,0.027475455691214602,0.040413940262068605
78,1.0,0.02747120157179672,0.04149544848619957
79,1.0,0.027458422965285733,0.04313761131438141
80,1.0,0.02735253058053826,0.040971460212773876
81,1.0,0.027346702939947426,0.04255824933689007
82,1.0,0.027318335806423066,0.04193729163855225
83,1.0,0.02729300918640824,0.04173685647880034
84,1.0,0.027312131396989067,0.041547840132040534
