board_position,player_white,voc,move_time,elo,n_candidates,ply
r2q2k1/2p1b1p1/p1Pp3p/4p2n/1P3n2/5NP1/P1QB1P1P/R4RK1,False,0.0,34.0,2030,5,44
r2q2k1/2p1b1p1/p1Pp3p/4p2n/1P6/5NPn/P1QB1P1P/R4RK1,True,0.0,3.0,2039,2,45
r2q2k1/2p1b1p1/p1Pp3p/4p2n/1P6/5NPn/P1QB1PKP/R4R2,False,0.0,9.0,2030,5,46
r2q2k1/2p1b1p1/p1Pp3p/4p1nn/1P6/5NP1/P1QB1PKP/R4R2,True,0.0,2.0,2039,5,47
r2q2k1/2p1b1p1/p1Pp3p/4p1Nn/1P6/6P1/P1QB1PKP/R4R2,False,0.0,5.0,2030,5,48
r2q2k1/2p3p1/p1Pp3p/4p1bn/1P6/6P1/P1QB1PKP/R4R2,True,0.0,26.0,2039,5,49
r2q2k1/2p3p1/p1Pp3p/4p1bn/1P6/6P1/P2B1PKP/R1Q2R2,False,0.0,21.0,2030,5,50
r2q2k1/2p3p1/p1Pp1b1p/4p2n/1P6/6P1/P2B1PKP/R1Q2R2,True,0.0,15.0,2039,5,51
r2q2k1/2p3p1/p1Pp1b1p/4p2n/1P6/6P1/P2B1PKP/1RQ2R2,False,0.0,12.0,2030,5,52
r2q2k1/2p3p1/p1P2b1p/3pp2n/1P6/6P1/P2B1PKP/1RQ2R2,True,0.0,3.0,2039,5,53
r2q2k1/2p3p1/p1P2b1p/3pp2n/1P6/6P1/P2B1PKP/1R1Q1R2,False,0.0,11.0,2030,5,54
r3q1k1/2p3p1/p1P2b1p/3pp2n/1P6/6P1/P2B1PKP/1R1Q1R2,True,0.0,30.0,2039,5,55
r3q1k1/2p3p1/p1P2b1p/3pp2n/1P6/6P1/P1QB1PKP/1R3R2,False,0.0,9.0,2030,5,56
r3q1k1/2p3p1/p1P2b1p/3p3n/1P2p3/6P1/P1QB1PKP/1R3R2,True,0.0,7.0,2039,5,57
r3q1k1/2p3p1/p1P2b1p/3p3n/1P2p3/4B1P1/P1Q2PKP/1R3R2,False,0.0,6.0,2030,5,58
r3q1k1/2p3p1/p1P2b1p/7n/1P1pp3/4B1P1/P1Q2PKP/1R3R2,True,0.0,8.0,2039,5,59
r3q1k1/2p3p1/p1P2b1p/7n/1P1pp3/6P1/P1Q2PKP/1RB2R2,False,0.004,3.0,2030,5,60
r3q1k1/2p3p1/p1P2b1p/7n/1P2p3/3p2P1/P1Q2PKP/1RB2R2,True,0.0,3.0,2039,5,61
r3q2k/2p3p1/p1P2b1p/7n/1PQ1p3/3p2P1/P4PKP/1RB2R2,True,0.254,30.0,2039,5,63
r3q2k/2p3p1/p1P2b1p/7n/1PQ1p3/3p2P1/P4PKP/1RB1R3,False,0.0,23.0,2030,5,64
3rq2k/2p3p1/p1P2b1p/7n/1PQ1p3/3p2P1/P4PKP/1RB1R3,True,0.0,15.0,2039,5,65
3rq2k/2p3p1/p1P2b1p/7n/1PQ1p3/3p2P1/P2B1PKP/1R2R3,False,0.0,49.0,2030,5,66
4q2k/2p3p1/p1P2b1p/7n/1PQrp3/3p2P1/P2B1PKP/1R2R3,True,0.0,47.0,2039,5,67
4q2k/2p3p1/p1P2b1p/2Q4n/1P1rp3/3p2P1/P2B1PKP/1R2R3,False,0.0,15.0,2030,5,68
7k/2p3p1/p1P2bqp/2Q4n/1P1rp3/3p2P1/P2B1PKP/1R2R3,True,0.506,41.0,2039,5,69
7k/2p3p1/p1P2bqp/1PQ4n/3rp3/3p2P1/P2B1PKP/1R2R3,False,0.0,11.0,2030,5,70
7k/2p3p1/2P2bqp/1pQ4n/3rp3/3p2P1/P2B1PKP/1R2R3,True,0.0,7.0,2039,5,71
7k/2p3p1/2P2bqp/1RQ4n/3rp3/3p2P1/P2B1PKP/4R3,False,0.0,41.0,2030,5,72
7k/2p3p1/2P2bqp/1RQ4n/3r4/3pp1P1/P2B1PKP/4R3,True,0.538,22.0,2039,5,73
1R6/2p3pk/2P2bqp/2Q4n/3r4/3pp1P1/P2B1PKP/4R3,True,0.0,13.0,2039,5,75
1R3Q2/2p3pk/2P2bqp/7n/3r4/3pp1P1/P2B1PKP/4R3,False,0.0,15.0,2030,5,76
1R3Q2/2p3pk/2P2b1p/5q1n/3r4/3pp1P1/P2B1PKP/4R3,True,0.0,9.0,2039,5,77
1R4Q1/2p3p1/2P2bkp/5q1n/3r4/3pp1P1/P2B1PKP/4R3,True,0.0,2.0,2039,5,79
1R2Q3/2p3pk/2P2b1p/5q1n/3r4/3pp1P1/P2B1PKP/4R3,True,0.0,11.0,2039,5,81
1R2Q3/2p3pk/2P2b1p/5q1n/3r4/3pB1P1/P4PKP/4R3,False,0.0,17.0,2030,5,82
1R2Q3/2p3pk/2P2b1p/5q1n/3r4/4B1P1/P2p1PKP/4R3,True,0.002,13.0,2039,5,83
1R2Q3/2p3pk/2P2b1p/5q1n/3r4/4B1P1/P2p1PKP/3R4,False,0.0,16.0,2030,5,84
1R2Q3/2p3pk/2P2b1p/3q3n/3r4/4B1P1/P2p1PKP/3R4,True,0.0,13.0,2039,5,85
1R2Q3/2p3pk/2P2b1p/3q3n/3r4/4B1P1/P2p1P1P/3R2K1,False,0.0,7.0,2030,5,86
1R2Q3/2p3pk/2P2b1p/3q3n/4r3/4B1P1/P2p1P1P/3R2K1,True,0.0,22.0,2039,5,87
1RQ5/2p3pk/2P2b1p/3q3n/4r3/4B1P1/P2p1P1P/3R2K1,False,0.0,39.0,2030,5,88
1RQ5/2p3pk/2P2b1p/3q3n/8/4r1P1/P2p1P1P/3R2K1,True,0.0,3.0,2039,5,89
1RQ5/2p3pk/2P2b1p/3q3n/8/4P1P1/P2p3P/3R2K1,False,0.0,3.0,2030,5,90
1RQ5/2p3pk/2P2b1p/7n/8/4PqP1/P2p3P/3R2K1,True,0.0,15.0,2039,5,91
1R4Q1/2p3p1/2P2bkp/7n/8/4PqP1/P2p3P/3R2K1,True,0.0,3.0,2039,5,93
1R2Q3/2p3pk/2P2b1p/7n/8/4PqP1/P2p3P/3R2K1,True,0.0,3.0,2039,5,95
4Q3/2p3pk/2P2b1p/7n/8/4PqP1/P2p3P/1R1R2K1,False,0.0,6.0,2030,5,96
4Q3/2p3pk/2P2b1p/8/8/4Pqn1/P2p3P/1R1R2K1,True,0.0,1.0,2039,5,97
4Q3/2p3pk/2P2b1p/8/8/4PqP1/P2p4/1R1R2K1,False,0.0,2.0,2030,5,98
4Q3/2p3pk/2P2b1p/8/8/4P1q1/P2p4/1R1R2K1,True,0.0,0.0,2039,2,99
4Q3/2p3pk/2P2b1p/8/8/4P1q1/P2p4/1R1R1K2,False,0.0,3.0,2030,5,100
4Q3/2p3pk/2P2b1p/8/8/4Pq2/P2p4/1R1R1K2,True,0.0,1.0,2039,1,101
4Q3/2p3pk/2P2b1p/8/8/4Pq2/P2p4/1R1R2K1,False,0.0,3.0,2030,5,102
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR,True,0.0,2.0,2083,5,3
rnbqkbnr/pp1ppppp/2p5/8/4P3/5N2/PPPP1PPP/RNBQKB1R,False,0.195,0.0,2113,5,4
rnbqkbnr/pp2pppp/2p5/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R,True,0.0,1.0,2083,5,5
rnbqkbnr/pp2pppp/2p5/3P4/8/5N2/PPPP1PPP/RNBQKB1R,False,0.0,1.0,2113,5,6
rnbqkbnr/pp2pppp/8/3p4/8/5N2/PPPP1PPP/RNBQKB1R,True,0.0,1.0,2083,5,7
rnbqkbnr/pp2pppp/8/3p4/3P4/5N2/PPP2PPP/RNBQKB1R,False,0.061,1.0,2113,5,8
r1bqkbnr/pp2pppp/2n5/3p4/3P4/5N2/PPP2PPP/RNBQKB1R,True,0.1649999999999999,1.0,2083,5,9
r1bqkbnr/pp2pppp/2n5/3p4/2PP4/5N2/PP3PPP/RNBQKB1R,False,0.0,0.0,2113,5,10
r1bqkb1r/pp2pppp/2n2n2/3p4/2PP4/5N2/PP3PPP/RNBQKB1R,True,0.062,1.0,2083,5,11
r1bqkb1r/pp2pppp/2n2n2/3p4/2PP4/2N2N2/PP3PPP/R1BQKB1R,False,0.0579999999999999,1.0,2113,5,12
r1bqkb1r/pp3ppp/2n1pn2/3p4/2PP4/2N2N2/PP3PPP/R1BQKB1R,True,0.0,1.0,2083,5,13
