frac_epoch,loss_gap
0.00398406374501992,0.761581
0.08366533864541832,0.518844
0.16334661354581673,0.406383
0.24302788844621515,0.295965
0.32270916334661354,0.199692
0.40239043824701193,0.175926
0.4820717131474104,0.157366
0.5617529880478087,0.148029
0.6414342629482072,0.142343
0.7211155378486056,0.138789
0.8007968127490039,0.152796
0.8804780876494024,0.137235
0.9601593625498008,0.124636
1.0,0.117372
1.00398406374502,0.145881
1.0836653386454183,0.13014
1.1633466135458168,0.13047
1.2430278884462151,0.118097
1.3227091633466135,0.116829
1.402390438247012,0.119006
1.4820717131474104,0.127689
1.5617529880478087,0.114321
1.641434262948207,0.111456
1.7211155378486056,0.117876
1.800796812749004,0.112862
1.8804780876494025,0.118446
1.9601593625498008,0.115812
2.0,0.107389
2.00398406374502,0.118056
2.0836653386454183,0.11386
2.1633466135458166,0.108371
2.243027888446215,0.123418
2.3227091633466137,0.124074
2.402390438247012,0.119678
2.4820717131474104,0.115869
2.5617529880478087,0.112399
2.641434262948207,0.109648
2.721115537848606,0.118532
2.800796812749004,0.106972
2.8804780876494025,0.099511
2.960159362549801,0.10202
3.0,0.112443
3.00398406374502,0.108836
3.0836653386454183,0.104305
3.1633466135458166,0.10556
3.243027888446215,0.10579
3.3227091633466137,0.112918
3.402390438247012,0.109927
3.4820717131474104,0.107002
3.5617529880478087,0.101226
3.641434262948207,0.105466
3.721115537848606,0.105268
3.800796812749004,0.105053
3.8804780876494025,0.108772
3.960159362549801,0.104512
4.0,0.123938
4.00398406374502,0.112056
4.083665338645418,0.108101
4.163346613545817,0.10387
4.243027888446215,0.110255
4.322709163346613,0.104299
4.402390438247012,0.104746
4.482071713147411,0.105279
4.561752988047809,0.103993
4.6414342629482075,0.099819
4.721115537848606,0.099439
4.800796812749004,0.102934
4.8804780876494025,0.104199
4.960159362549801,0.099621
5.0,0.121726
5.00398406374502,0.100999
5.083665338645418,0.105778
5.163346613545817,0.103793
5.243027888446215,0.105079
5.322709163346613,0.104432
5.402390438247012,0.103427
5.482071713147411,0.098505
5.561752988047809,0.098658
5.6414342629482075,0.10497
5.721115537848606,0.098983
5.800796812749004,0.101802
5.8804780876494025,0.10127
5.960159362549801,0.095667
6.0,0.092644
