epoch,tau,train_E_regret,val_greedy_regret
1,1.0,0.3448231888420848,0.12010615947379392
2,1.0,0.2071697393301927,0.12010615947379392
3,1.0,0.1366348258543932,0.12010615947379392
4,1.0,0.10046433543790498,0.12010615947379392
5,1.0,0.08826619124916879,0.12010615947379392
6,1.0,0.08333737864091349,0.12010615947379392
7,1.0,0.07882794394860045,0.12010615947379392
8,1.0,0.07471638076079838,0.12010615947379392
9,1.0,0.07021805351264382,0.12010615947379392
10,1.0,0.06556692360100132,0.12010615947379392
11,1.0,0.0610911315385922,0.12006954731855825
12,1.0,0.05710730101103165,0.10847401928287567
13,1.0,0.053653182955329205,0.08595602755578875
14,1.0,0.050811220134227876,0.07128945742524255
15,1.0,0.0484197535604198,0.061865337015850515
16,1.0,0.0465215378934875,0.05486416795994658
17,1.0,0.045116291134293364,0.05079290886107029
18,1.0,0.04391651912579201,0.04894164302703373
19,1.0,0.042811250741350115,0.04712424018890062
20,1.0,0.041886895194442414,0.04467685670091655
21,1.0,0.04116577832087689,0.04319610190877909
22,1.0,0.04047279013130857,0.04179557363569015
23,1.0,0.03991382447469872,0.04110760540139095
24,1.0,0.03932501742788319,0.04030640570387099
25,1.0,0.03884951917314527,0.03994414881558996
26,1.0,0.038545600501061636,0.03914843406090689
27,1.0,0.038046469637046186,0.03845176541988036
28,1.0,0.03769475982043549,0.037776091261587964
29,1.0,0.037732483959200494,0.037704483561796905
30,1.0,0.03712746992180467,0.03712028067367054
31,1.0,0.03684150720545655,0.036944269790223354
32,1.0,0.03666723034274577,0.0362572889975103
33,1.0,0.03655063838932432,0.03612430420920457
34,1.0,0.03629150901809171,0.0360822366221926
35,1.0,0.03606411865497905,0.035422752552260905
36,1.0,0.036029037695205456,0.03585558683188866
37,1.0,0.03567457259139273,0.03518140148640507
38,1.0,0.03572742137798841,0.03538738375019176
39,1.0,0.03540415548847168,0.03469494971913108
40,1.0,0.035196431428069365,0.03471796542295238
41,1.0,0.035192521783241656,0.03445724632660394
42,1.0,0.03529455238148054,0.03466231121206939
43,1.0,0.03489715724812555,0.034481325798917814
44,1.0,0.03485123294588475,0.03418906385844264
45,1.0,0.03471344275032423,0.034522259194618425
46,1.0,0.03455750319057461,0.03422012599471345
47,1.0,0.03443577008055177,0.03412342538373905
48,1.0,0.03442888089274777,0.03408577173440637
49,1.0,0.034417960791221384,0.03448188330864214
50,1.0,0.03413914098529908,0.03381693950505764
51,1.0,0.03407184384672066,0.033628466486713415
52,1.0,0.03396406171352666,0.03363092859525531
53,1.0,0.03386567972406422,0.033849968936827124
54,1.0,0.03399147931398701,0.03367981187759651
55,1.0,0.03378305577451608,0.03371603141952469
56,1.0,0.033759492234481873,0.03336776937544422
57,1.0,0.033726159988549595,0.033063796446546424
58,1.0,0.03370955713843716,0.03344799244840738
59,1.0,0.03357508746777951,0.033072329485423727
60,1.0,0.03346297652816663,0.03306659426222527
61,1.0,0.033332432505382724,0.033358629710043795
62,1.0,0.033382648186778226,0.03323922635652049
63,1.0,0.033353295199430436,0.0333458445353002
64,1.0,0.0332454689692181,0.03263847817143124
65,1.0,0.033365415161984595,0.033208748113285745
66,1.0,0.033105096543742926,0.03310321373105751
