epoch,tau,train_E_regret,val_greedy_regret
1,1.0,0.3408971726208623,0.05056997068820648
2,1.0,0.1399293350695398,0.03854781393020879
3,1.0,0.03633864318852413,0.03341383354755423
4,1.0,0.02882898029556753,0.03009170410050209
5,1.0,0.028366871395176293,0.029128194623498065
6,1.0,0.02816389335110751,0.028721125428404347
7,1.0,0.02803523282824095,0.028620968191281602
8,1.0,0.02793247791819743,0.028502190449164612
9,1.0,0.02781781591626967,0.02824766511034967
10,1.0,0.02773133972822379,0.02829666585310698
11,1.0,0.027624807615001048,0.02809456675620679
12,1.0,0.027540255855971918,0.02769232056376362
13,1.0,0.027468687409258216,0.027621259570195216
14,1.0,0.027340343053700186,0.027515526339503386
15,1.0,0.027261566962774434,0.027364014867314712
16,1.0,0.027167989678455687,0.027546934100413756
17,1.0,0.027133759292150974,0.026937477767926474
18,1.0,0.027016634996655086,0.02726806395067608
19,1.0,0.026989838065755452,0.0268597178953964
20,1.0,0.02695920336892192,0.027145771463324784
21,1.0,0.026862206197000985,0.02677739192321799
22,1.0,0.02688150140784635,0.027032603900375676
23,1.0,0.02680046302772456,0.02654828536639651
24,1.0,0.026856547922298083,0.026904963735490794
25,1.0,0.026849004816103774,0.02649598469801841
26,1.0,0.026722934631629416,0.026867215541512827
27,1.0,0.02673467885106319,0.02654456574229281
28,1.0,0.026724174119794723,0.026911545230589695
29,1.0,0.02674065295467752,0.026563409472231955
30,1.0,0.026674059878431994,0.026596188859737902
31,1.0,0.026676069162127527,0.026501459802935556
32,1.0,0.026640426245760674,0.026537359186435912
33,1.0,0.026628876424255935,0.026570115024560585
34,1.0,0.026621624853295608,0.02658292927889304
35,1.0,0.026598999606582387,0.02630717978723854
36,1.0,0.026584979137952214,0.026244490907502534
37,1.0,0.02661919092585908,0.026476021785605274
38,1.0,0.026637162531827074,0.02652827251898473
39,1.0,0.026587500469637346,0.0263679559649295
40,1.0,0.026576938903826747,0.026517712388660273
41,1.0,0.026528576526495904,0.026272558181078355
42,1.0,0.026497972355340207,0.026476215111575708
43,1.0,0.026543102155945787,0.02642299031066417
44,1.0,0.026424310757389827,0.026283541827649064
45,1.0,0.025907457847568593,0.02665396533363145
46,1.0,0.026554097325519943,0.026142207655797257
47,1.0,0.026508087135485907,0.0265357344580018
48,1.0,0.026692451109265936,0.026224760593530294
49,1.0,0.025436873056696632,0.02486667464298976
50,1.0,0.02403921362247574,0.02402914423595808
51,1.0,0.023883369420183126,0.02538623679002915
52,1.0,0.023957860155305582,0.02372969363049779
53,1.0,0.023813292141600502,0.02557625634112545
54,1.0,0.02380455769002344,0.025231524589791648
55,1.0,0.023621632234695916,0.02339435494584827
56,1.0,0.023698383563717045,0.024890016522130094
57,1.0,0.023473298566562214,0.02336428770914013
58,1.0,0.023728753376084696,0.023243632927033082
59,1.0,0.023475261578302653,0.022619877665137355
60,1.0,0.023311766275360475,0.02339579445872991
61,1.0,0.02333044844821069,0.023743117956584004
62,1.0,0.023110172884407656,0.02300774282625912
63,1.0,0.02318412165349684,0.02351852479689253
64,1.0,0.023032638991356595,0.022559327160029743
65,1.0,0.023020498588410036,0.022585704621249345
66,1.0,0.02324537384755198,0.0227887180284499
67,1.0,0.023174513911232455,0.02307994194457977
68,1.0,0.023475057529919678,0.023449719464282075
69,1.0,0.02332802027917447,0.023530008016795497
70,1.0,0.023228206268211014,0.024271637016422976
71,1.0,0.02318865245531735,0.022920932693885544
72,1.0,0.02319161320235138,0.022588042703284045
73,1.0,0.023093569075990493,0.022578147659731432
74,1.0,0.022978680543995045,0.023993113974289618
75,1.0,0.022928916195877214,0.022864307952897737
76,1.0,0.02311166128769615,0.023222693347077123
77,1.0,0.023045491860261298,0.022800656048240366
78,1.0,0.022892171660984253,0.02271429883141932
79,1.0,0.023018417354517682,0.02239401485842486
80,1.0,0.02297041240536809,0.02271297399995461
81,1.0,0.022866972525055755,0.02243461321344215
82,1.0,0.02276729538548929,0.023165602743219053
83,1.0,0.022920427959454807,0.022331095686476413
84,1.0,0.02281308199420545,0.022553625823697472
85,1.0,0.022878138523016213,0.02311719570130691
86,1.0,0.022787011407441195,0.02368970122503555
87,1.0,0.023640395848446967,0.022406141347447405
88,1.0,0.022936031109349598,0.022208445011900956
89,1.0,0.022669163491156497,0.02316480083514535
90,1.0,0.022855641531334576,0.022217287068764077
91,1.0,0.022744833627627456,0.022693568621201598
92,1.0,0.022832015148797378,0.023647882668667297
93,1.0,0.02296942297784981,0.022538220819880397
94,1.0,0.022635715483221134,0.023084978893178152
95,1.0,0.022759284663019276,0.022716580855911148
96,1.0,0.022655348340141924,0.02222315948560081
97,1.0,0.022770620587947866,0.02253314420424544
98,1.0,0.02282770532320208,0.022831060121576423
99,1.0,0.022781918737084694,0.022297052738949264
100,1.0,0.02279256317316831,0.02222461753333014
101,1.0,0.022690781395176742,0.02227131778614349
102,1.0,0.022669377061803837,0.02242574832506859
103,1.0,0.022628370742014032,0.022732754866321685
104,1.0,0.022708608372720037,0.02280561405983401
105,1.0,0.022486394179885377,0.022237234548618826
106,1.0,0.02265879845106599,0.02225142015144033
107,1.0,0.02279262329700034,0.02279274387308283
