epoch,tau,train_E_regret,val_greedy_regret
1,1.0,0.2700406509130997,0.381664288916328
2,1.0,0.15324640578196122,0.2883763265315097
3,1.0,0.11406845769605033,0.21152510183609358
4,1.0,0.10516191761671481,0.1612066885809998
5,1.0,0.09996212169959721,0.13673617400457183
6,1.0,0.09576186851865513,0.13260013887483402
7,1.0,0.0918066731852139,0.12680507175303624
8,1.0,0.08804621573254325,0.11503731736224153
9,1.0,0.08475183057412232,0.10543917572885124
10,1.0,0.08177022285422025,0.09804517652591613
11,1.0,0.07905580492252062,0.09040773175612782
12,1.0,0.07655472983710873,0.08234081157232878
13,1.0,0.07452890912869425,0.07739643514049073
14,1.0,0.07276961796983941,0.07496197223850742
15,1.0,0.07126657596356124,0.07191156717035946
16,1.0,0.06990096071748077,0.06901559308750528
17,1.0,0.06868885527026415,0.06602865333886065
18,1.0,0.06765919115798404,0.06392476564680348
19,1.0,0.06679160776852489,0.06226879748321689
20,1.0,0.06592655469824263,0.061322250677068896
21,1.0,0.06520987256711502,0.05996590395831186
22,1.0,0.06458838089744162,0.059806898459588725
23,1.0,0.0640400168251672,0.05870932102253984
24,1.0,0.06352864587288898,0.05857746588578288
25,1.0,0.06311689003960705,0.05855840966472499
26,1.0,0.06271867378307129,0.056460178756028774
27,1.0,0.06239695329756408,0.05598920871904047
28,1.0,0.06209709266279173,0.05581871864508061
29,1.0,0.06182266388393548,0.05619667759870852
30,1.0,0.06160456299837907,0.05430750167015897
31,1.0,0.061441892618328046,0.055597147213349164
32,1.0,0.06117455541990926,0.05558006154090592
33,1.0,0.06101823807691582,0.055631318558235665
34,1.0,0.0609277987262592,0.05415184335555267
35,1.0,0.06065547728657585,0.05370094085828185
36,1.0,0.06051687078565848,0.05365944708234824
37,1.0,0.06051362541725029,0.05398651566911904
38,1.0,0.06044466133808918,0.05409659409149396
39,1.0,0.06032241617267369,0.0538327446171298
40,1.0,0.0603055805045807,0.05269882854313312
41,1.0,0.060086295251790954,0.05229267738832186
42,1.0,0.05992420163676151,0.05263809581244173
43,1.0,0.05989997864319695,0.052676856105399524
44,1.0,0.059789130970135905,0.053808336513639435
45,1.0,0.06002901116168445,0.053976752427722895
46,1.0,0.05978074780805704,0.05269150096749373
47,1.0,0.05962103826738329,0.05228745405508275
48,1.0,0.05957519040314327,0.05141984039339569
49,1.0,0.05954887401423635,0.052696675260818594
50,1.0,0.05948535685069316,0.05232162539996925
51,1.0,0.05979937501660813,0.05384583804284408
52,1.0,0.05939178732768809,0.051366142565716935
53,1.0,0.059365090865268956,0.05228745405508274
54,1.0,0.059366003818940125,0.052131492947208195
55,1.0,0.05930771663100783,0.05151013355836562
56,1.0,0.05960498564120629,0.0513650083454608
57,1.0,0.05937961819605553,0.051522434032007805
58,1.0,0.05924999528354013,0.05213393375755723
59,1.0,0.05923001407398712,0.05138322823816018
60,1.0,0.05915928200813046,0.05209116853435272
61,1.0,0.05914861723685561,0.051734033389125834
