epoch,tau,train_E_regret,val_greedy_regret
1,1.0,0.29191754112656604,0.729916657955142
2,1.0,0.15907418843518115,0.48855454676926163
3,1.0,0.13229166609655427,0.31915559853692416
4,1.0,0.11713568370404721,0.24727062439651143
5,1.0,0.10343597553558971,0.20058711654652647
6,1.0,0.08879451766795611,0.07425279681536077
7,1.0,0.08070955018333381,0.07030087478229849
8,1.0,0.07680021190248065,0.07016183652685573
9,1.0,0.0745788878812761,0.06889313792049119
10,1.0,0.07318603639843424,0.06846834239389558
11,1.0,0.07203317877232886,0.06723709860616899
12,1.0,0.07113225629964068,0.0664673646954885
13,1.0,0.070457529905089,0.06515624715476644
14,1.0,0.06972437467039934,0.06452832289997452
15,1.0,0.06902847785279412,0.06462640683345028
16,1.0,0.06847810900859062,0.06327585999124348
17,1.0,0.06795180175169381,0.06307571354262255
18,1.0,0.06741613019933798,0.06162834504026768
19,1.0,0.06701958395409018,0.06191024027612864
20,1.0,0.06661057795157631,0.06118425371240293
21,1.0,0.0664650986621587,0.060723982571323734
22,1.0,0.06627485485689597,0.06073374581271987
23,1.0,0.06586189836344701,0.06100493292007976
24,1.0,0.06559994816000822,0.06028463670849729
25,1.0,0.06536328276540804,0.06030172238094055
26,1.0,0.06526216786970791,0.059548559853693304
27,1.0,0.06506157700810494,0.059896728297913565
28,1.0,0.06488782380135871,0.06015545419491136
29,1.0,0.06478823845546224,0.06026999184640308
30,1.0,0.06468382603690011,0.05905760665982177
31,1.0,0.06471070696956978,0.05938836098676508
32,1.0,0.0645287662982978,0.05964184589637577
33,1.0,0.06457199970346567,0.05970774777579975
34,1.0,0.06450257241926972,0.05924419901098417
35,1.0,0.06431347363795113,0.05891733282191765
36,1.0,0.06425768781978208,0.05893197768401187
37,1.0,0.06425233422422519,0.05973164781028732
38,1.0,0.06441726892541336,0.059301102917949065
39,1.0,0.06424128420470948,0.05926892285324049
40,1.0,0.06414778194109798,0.05881237797690911
41,1.0,0.06406647420779842,0.05891489201156862
42,1.0,0.06402928654200711,0.059186969608320664
43,1.0,0.0640511557747381,0.05906492909086888
44,1.0,0.06399510375591966,0.059224462407343435
45,1.0,0.06413103517500654,0.05887583904598404
46,1.0,0.06393561265983164,0.059074692332265026
47,1.0,0.06389950268456046,0.05871326753876414
48,1.0,0.06409155196592956,0.059228463384254276
49,1.0,0.06396211470698303,0.0589766568217802
50,1.0,0.0638588004132941,0.0584108485214357
51,1.0,0.06379319547370954,0.05929866210760002
